array	sample	purity
TCGA-DK-A3IK-01	TCGA-DK-A3IK-01A-32D-A219-01	0.5
TCGA-DK-A3IL-01	TCGA-DK-A3IL-01A-11D-A20B-01	0.74
TCGA-DK-A3IM-01	TCGA-DK-A3IM-01A-11D-A20B-01	0.83
TCGA-DK-A3IN-01	TCGA-DK-A3IN-01A-11D-A20B-01	0.39
TCGA-DK-A3IQ-01	TCGA-DK-A3IQ-01A-31D-A20B-01	0.35
TCGA-DK-A3IS-01	TCGA-DK-A3IS-01A-21D-A219-01	0.9
TCGA-DK-A3IT-01	TCGA-DK-A3IT-01A-31D-A20B-01	0.46
TCGA-DK-A3IU-01	TCGA-DK-A3IU-01A-11D-A20B-01	0.27
TCGA-DK-A3IV-01	TCGA-DK-A3IV-01A-22D-A219-01	0.56
TCGA-DK-A3WW-01	TCGA-DK-A3WW-01A-22D-A23L-01	0.5
TCGA-DK-A3WX-01	TCGA-DK-A3WX-01A-22D-A22Y-01	0.37
TCGA-DK-A3X1-01	TCGA-DK-A3X1-01A-12D-A22Y-01	0.47
TCGA-DK-A3X2-01	TCGA-DK-A3X2-01A-11D-A22Y-01	0.92
TCGA-DK-A6AV-01	TCGA-DK-A6AV-01A-12D-A30D-01	0.5
TCGA-DK-A6AW-01	TCGA-DK-A6AW-01A-11D-A30D-01	0.93
TCGA-DK-A6B0-01	TCGA-DK-A6B0-01A-11D-A31K-01	0.9
TCGA-DK-A6B1-01	TCGA-DK-A6B1-01A-12D-A30D-01	0.83
TCGA-DK-A6B2-01	TCGA-DK-A6B2-01A-11D-A30D-01	0.49
TCGA-DK-A6B5-01	TCGA-DK-A6B5-01A-11D-A31K-01	0.76
TCGA-DK-A6B6-01	TCGA-DK-A6B6-01A-11D-A30D-01	0.52
TCGA-DK-AA6L-01	TCGA-DK-AA6L-01A-11D-A390-01	0.64
TCGA-DK-AA6M-01	TCGA-DK-AA6M-01A-11D-A390-01	0.65
TCGA-DK-AA6P-01	TCGA-DK-AA6P-01A-11D-A390-01	0.83
TCGA-DK-AA6Q-01	TCGA-DK-AA6Q-01A-11D-A390-01	0.73
TCGA-DK-AA6R-01	TCGA-DK-AA6R-01A-11D-A42D-01	0.58
TCGA-DK-AA6S-01	TCGA-DK-AA6S-01A-21D-A390-01	0.68
TCGA-DK-AA6T-01	TCGA-DK-AA6T-01A-11D-A390-01	0.8
TCGA-DK-AA6U-01	TCGA-DK-AA6U-01A-11D-A390-01	0.77
TCGA-DK-AA6W-01	TCGA-DK-AA6W-01A-12D-A390-01	0.8
TCGA-DK-AA6X-01	TCGA-DK-AA6X-01A-12D-A42D-01	0.44
TCGA-DK-AA71-01	TCGA-DK-AA71-01A-31D-A390-01	0.67
