array	sample	purity
TCGA-WZ-A7V5-01	TCGA-WZ-A7V5-01A-11D-A434-01	0.38
TCGA-WZ-A8D5-01	TCGA-WZ-A8D5-01A-11D-A434-01	0.26
TCGA-X3-A8G4-01	TCGA-X3-A8G4-01A-11D-A434-01	0.47
TCGA-XE-A8H1-01	TCGA-XE-A8H1-01A-11D-A434-01	0.47
TCGA-XE-A8H4-01	TCGA-XE-A8H4-01A-31D-A434-01	0.27
TCGA-XE-A8H5-01	TCGA-XE-A8H5-01A-11D-A434-01	0.67
TCGA-XE-A9SE-01	TCGA-XE-A9SE-01A-21D-A434-01	0.5
TCGA-XE-AANI-01	TCGA-XE-AANI-01A-11D-A434-01	0.81
TCGA-XE-AANJ-01	TCGA-XE-AANJ-01A-11D-A434-01	0.59
TCGA-XE-AANR-01	TCGA-XE-AANR-01A-11D-A434-01	0.62
TCGA-XE-AANV-01	TCGA-XE-AANV-01A-11D-A434-01	0.45
TCGA-XE-AAO3-01	TCGA-XE-AAO3-01A-11D-A434-01	0.7
TCGA-XE-AAO4-01	TCGA-XE-AAO4-01A-11D-A434-01	0.43
TCGA-XE-AAO6-01	TCGA-XE-AAO6-01A-31D-A434-01	0.55
TCGA-XE-AAOB-01	TCGA-XE-AAOB-01A-11D-A434-01	0.37
TCGA-XE-AAOC-01	TCGA-XE-AAOC-01A-11D-A434-01	0.9
TCGA-XE-AAOD-01	TCGA-XE-AAOD-01A-11D-A434-01	0.17
TCGA-XE-AAOF-01	TCGA-XE-AAOF-01A-11D-A434-01	0.34
TCGA-XE-AAOJ-01	TCGA-XE-AAOJ-01A-12D-A434-01	0.84
TCGA-XE-AAOL-01	TCGA-XE-AAOL-01A-11D-A434-01	0.73
TCGA-XY-A89B-01	TCGA-XY-A89B-01A-11D-A434-01	0.35
TCGA-XY-A8S2-01	TCGA-XY-A8S2-01A-11D-A434-01	0.73
TCGA-XY-A8S3-01	TCGA-XY-A8S3-01B-11D-A434-01	0.87
TCGA-XY-A9T9-01	TCGA-XY-A9T9-01A-11D-A434-01	0.37
TCGA-YU-A90P-01	TCGA-YU-A90P-01A-11D-A434-01	0.54
TCGA-YU-A90Q-01	TCGA-YU-A90Q-01A-11D-A434-01	0.8
TCGA-YU-A90S-01	TCGA-YU-A90S-01A-11D-A434-01	0.44
TCGA-YU-A90W-01	TCGA-YU-A90W-01A-11D-A434-01	0.51
TCGA-YU-A90Y-01	TCGA-YU-A90Y-01A-11D-A434-01	0.6
TCGA-YU-A912-01	TCGA-YU-A912-01A-11D-A434-01	0.67
TCGA-YU-A94D-01	TCGA-YU-A94D-01A-11D-A434-01	0.83
TCGA-YU-A94I-01	TCGA-YU-A94I-01A-11D-A434-01	0.88
TCGA-YU-AA4L-01	TCGA-YU-AA4L-01A-11D-A434-01	0.84
TCGA-YU-AA61-01	TCGA-YU-AA61-01A-11D-A434-01	0.6
TCGA-ZM-AA05-01	TCGA-ZM-AA05-01A-12D-A434-01	0.33
TCGA-ZM-AA06-01	TCGA-ZM-AA06-01A-12D-A434-01	0.58
TCGA-ZM-AA0B-01	TCGA-ZM-AA0B-01A-11D-A434-01	0.48
TCGA-ZM-AA0D-01	TCGA-ZM-AA0D-01A-11D-A434-01	0.32
TCGA-ZM-AA0E-01	TCGA-ZM-AA0E-01A-12D-A434-01	0.28
TCGA-ZM-AA0F-01	TCGA-ZM-AA0F-01A-21D-A434-01	0.26
TCGA-ZM-AA0H-01	TCGA-ZM-AA0H-01A-11D-A434-01	0.26
TCGA-ZM-AA0N-01	TCGA-ZM-AA0N-01A-21D-A434-01	0.33
TCGA-4C-A93U-01	TCGA-4C-A93U-01A-11D-A396-01	0.73
TCGA-BJ-A0YZ-01	TCGA-BJ-A0YZ-01A-11D-A10T-01	0.38
TCGA-BJ-A0Z0-01	TCGA-BJ-A0Z0-01A-11D-A10T-01	0.89
TCGA-BJ-A0Z2-01	TCGA-BJ-A0Z2-01A-11D-A10T-01	0.97
TCGA-BJ-A0Z3-01	TCGA-BJ-A0Z3-01A-11D-A13V-01	0.54
TCGA-BJ-A0Z9-01	TCGA-BJ-A0Z9-01A-11D-A10T-01	0.61
TCGA-BJ-A0ZA-01	TCGA-BJ-A0ZA-01A-11D-A10T-01	0.86
TCGA-BJ-A0ZB-01	TCGA-BJ-A0ZB-01A-11D-A10T-01	0.67
TCGA-BJ-A0ZC-01	TCGA-BJ-A0ZC-01A-12D-A13V-01	0.76
TCGA-BJ-A0ZE-01	TCGA-BJ-A0ZE-01A-11D-A10T-01	0.73
TCGA-BJ-A0ZG-01	TCGA-BJ-A0ZG-01A-11D-A10T-01	0.63
TCGA-BJ-A0ZH-01	TCGA-BJ-A0ZH-01A-11D-A10T-01	0.62
TCGA-BJ-A0ZJ-01	TCGA-BJ-A0ZJ-01A-11D-A10T-01	0.56
TCGA-BJ-A18Y-01	TCGA-BJ-A18Y-01A-11D-A13V-01	0.6
TCGA-BJ-A18Z-01	TCGA-BJ-A18Z-01A-21D-A13V-01	0.33
TCGA-BJ-A191-01	TCGA-BJ-A191-01A-11D-A13V-01	0.36
TCGA-BJ-A28R-01	TCGA-BJ-A28R-01A-11D-A16M-01	0.75
TCGA-BJ-A28S-01	TCGA-BJ-A28S-01A-11D-A19I-01	0.79
TCGA-BJ-A28T-01	TCGA-BJ-A28T-01A-11D-A16M-01	0.84
TCGA-BJ-A28V-01	TCGA-BJ-A28V-01A-11D-A19I-01	0.72
TCGA-BJ-A28X-01	TCGA-BJ-A28X-01A-11D-A22C-01	0.94
TCGA-BJ-A2N7-01	TCGA-BJ-A2N7-01A-11D-A18E-01	0.77
TCGA-BJ-A2N8-01	TCGA-BJ-A2N8-01A-11D-A18E-01	0.64
TCGA-BJ-A2NA-01	TCGA-BJ-A2NA-01A-12D-A19I-01	0.67
TCGA-BJ-A2P4-01	TCGA-BJ-A2P4-01A-11D-A18E-01	0.84
TCGA-BJ-A3EZ-01	TCGA-BJ-A3EZ-01A-11D-A201-01	1
TCGA-BJ-A3PR-01	TCGA-BJ-A3PR-01A-11D-A21Y-01	0.46
TCGA-BJ-A3PT-01	TCGA-BJ-A3PT-01A-12D-A21Y-01	0.67
TCGA-BJ-A3PU-01	TCGA-BJ-A3PU-01A-11D-A21Y-01	0.8
TCGA-BJ-A45D-01	TCGA-BJ-A45D-01A-11D-A23T-01	0.61
TCGA-BJ-A45E-01	TCGA-BJ-A45E-01A-11D-A23T-01	0.25
TCGA-BJ-A45F-01	TCGA-BJ-A45F-01A-12D-A23T-01	0.84
TCGA-BJ-A45G-01	TCGA-BJ-A45G-01A-11D-A23T-01	0.78
TCGA-BJ-A45H-01	TCGA-BJ-A45H-01A-12D-A23T-01	0.5
TCGA-BJ-A45I-01	TCGA-BJ-A45I-01A-11D-A23T-01	0.99
TCGA-BJ-A45K-01	TCGA-BJ-A45K-01A-11D-A23T-01	0.85
TCGA-BJ-A4O8-01	TCGA-BJ-A4O8-01A-11D-A256-01	1
TCGA-BJ-A4O9-01	TCGA-BJ-A4O9-01A-11D-A256-01	0.96
TCGA-CE-A13K-01	TCGA-CE-A13K-01A-11D-A10T-01	0.8
TCGA-CE-A27D-01	TCGA-CE-A27D-01A-11D-A16M-01	0.54
TCGA-CE-A3MD-01	TCGA-CE-A3MD-01A-11D-A20A-01	0.8
TCGA-CE-A3ME-01	TCGA-CE-A3ME-01A-11D-A20A-01	0.6
TCGA-CE-A482-01	TCGA-CE-A482-01A-11D-A23T-01	0.55
TCGA-CE-A483-01	TCGA-CE-A483-01A-11D-A23T-01	0.67
TCGA-CE-A484-01	TCGA-CE-A484-01A-11D-A23T-01	0.91
TCGA-CE-A485-01	TCGA-CE-A485-01A-11D-A23T-01	0.93
TCGA-DE-A0XZ-01	TCGA-DE-A0XZ-01A-11D-A17S-01	0.76
TCGA-DE-A0Y2-01	TCGA-DE-A0Y2-01A-11D-A10T-01	0.85
TCGA-DE-A0Y3-01	TCGA-DE-A0Y3-01B-11D-A10T-01	1
TCGA-DE-A2OL-01	TCGA-DE-A2OL-01A-11D-A18E-01	0.63
TCGA-DE-A3KN-01	TCGA-DE-A3KN-01A-11D-A20A-01	0.75
TCGA-DE-A4M8-01	TCGA-DE-A4M8-01A-21D-A256-01	0.33
TCGA-DE-A4M9-01	TCGA-DE-A4M9-01A-11D-A256-01	0.99
TCGA-DE-A4MA-01	TCGA-DE-A4MA-01A-11D-A256-01	0.89
TCGA-DE-A4MB-01	TCGA-DE-A4MB-01A-11D-A256-01	0.67
TCGA-DE-A4MC-01	TCGA-DE-A4MC-01A-11D-A256-01	0.82
TCGA-DE-A4MD-01	TCGA-DE-A4MD-01A-11D-A256-01	0.93
TCGA-DE-A4MD-06	TCGA-DE-A4MD-06A-11D-A256-01	0.58
TCGA-DE-A69J-01	TCGA-DE-A69J-01A-21D-A396-01	0.66
TCGA-DE-A69K-01	TCGA-DE-A69K-01A-11D-A396-01	0.83
TCGA-DE-A7U5-01	TCGA-DE-A7U5-01A-11D-A396-01	0.93
TCGA-DJ-A13M-01	TCGA-DJ-A13M-01A-11D-A10T-01	0.88
TCGA-DJ-A13O-01	TCGA-DJ-A13O-01A-11D-A10T-01	0.36
TCGA-DJ-A13P-01	TCGA-DJ-A13P-01A-11D-A10T-01	0.82
TCGA-DJ-A13R-01	TCGA-DJ-A13R-01A-11D-A10T-01	0.58
TCGA-DJ-A13S-01	TCGA-DJ-A13S-01A-11D-A10T-01	0.67
TCGA-DJ-A13T-01	TCGA-DJ-A13T-01A-11D-A10T-01	0.9
TCGA-DJ-A13U-01	TCGA-DJ-A13U-01A-11D-A10T-01	0.3
TCGA-DJ-A13V-01	TCGA-DJ-A13V-01A-11D-A10T-01	1
TCGA-DJ-A13W-01	TCGA-DJ-A13W-01A-11D-A10T-01	0.87
TCGA-DJ-A13X-01	TCGA-DJ-A13X-01A-11D-A10T-01	0.72
TCGA-DJ-A1QD-01	TCGA-DJ-A1QD-01A-11D-A14V-01	0.49
TCGA-DJ-A1QE-01	TCGA-DJ-A1QE-01A-21D-A14V-01	0.95
TCGA-DJ-A1QF-01	TCGA-DJ-A1QF-01A-12D-A14V-01	0.78
TCGA-DJ-A1QG-01	TCGA-DJ-A1QG-01A-11D-A14V-01	0.76
TCGA-DJ-A1QH-01	TCGA-DJ-A1QH-01A-21D-A14V-01	0.83
TCGA-DJ-A1QI-01	TCGA-DJ-A1QI-01A-11D-A14V-01	0.91
TCGA-DJ-A1QL-01	TCGA-DJ-A1QL-01A-11D-A14V-01	0.84
TCGA-DJ-A1QM-01	TCGA-DJ-A1QM-01A-11D-A14V-01	0.19
TCGA-DJ-A1QN-01	TCGA-DJ-A1QN-01A-11D-A14V-01	0.6
TCGA-DJ-A1QO-01	TCGA-DJ-A1QO-01A-11D-A14V-01	0.68
TCGA-DJ-A1QQ-01	TCGA-DJ-A1QQ-01A-11D-A14V-01	0.93
TCGA-DJ-A2PN-01	TCGA-DJ-A2PN-01A-21D-A19I-01	0.84
TCGA-DJ-A2PO-01	TCGA-DJ-A2PO-01A-21D-A19I-01	0.96
TCGA-DJ-A2PP-01	TCGA-DJ-A2PP-01A-11D-A19I-01	0.77
TCGA-DJ-A2PQ-01	TCGA-DJ-A2PQ-01A-11D-A18E-01	0.97
TCGA-DJ-A2PR-01	TCGA-DJ-A2PR-01A-11D-A19I-01	1
TCGA-DJ-A2PS-01	TCGA-DJ-A2PS-01A-11D-A18E-01	0.67
TCGA-DJ-A2PT-01	TCGA-DJ-A2PT-01A-11D-A18E-01	0.5
TCGA-DJ-A2PU-01	TCGA-DJ-A2PU-01A-12D-A19I-01	0.87
TCGA-DJ-A2PV-01	TCGA-DJ-A2PV-01A-11D-A19I-01	0.36
TCGA-DJ-A2PW-01	TCGA-DJ-A2PW-01A-11D-A19I-01	0.3
TCGA-DJ-A2PX-01	TCGA-DJ-A2PX-01A-11D-A18E-01	0.18
TCGA-DJ-A2PY-01	TCGA-DJ-A2PY-01A-11D-A18E-01	0.58
TCGA-DJ-A2PZ-01	TCGA-DJ-A2PZ-01A-21D-A18E-01	0.55
TCGA-DJ-A2Q0-01	TCGA-DJ-A2Q0-01A-11D-A201-01	0.59
TCGA-DJ-A2Q1-01	TCGA-DJ-A2Q1-01A-22D-A19I-01	0.67
TCGA-DJ-A2Q2-01	TCGA-DJ-A2Q2-01A-11D-A19I-01	0.45
TCGA-DJ-A2Q3-01	TCGA-DJ-A2Q3-01A-11D-A18E-01	0.43
TCGA-DJ-A2Q4-01	TCGA-DJ-A2Q4-01A-21D-A18E-01	0.76
TCGA-DJ-A2Q5-01	TCGA-DJ-A2Q5-01A-11D-A18E-01	0.44
TCGA-DJ-A2Q6-01	TCGA-DJ-A2Q6-01A-11D-A18E-01	0.57
TCGA-DJ-A2Q7-01	TCGA-DJ-A2Q7-01A-11D-A18E-01	0.68
TCGA-DJ-A2Q8-01	TCGA-DJ-A2Q8-01A-11D-A18E-01	0.52
TCGA-DJ-A2QA-01	TCGA-DJ-A2QA-01A-11D-A18E-01	0.53
TCGA-DJ-A2QB-01	TCGA-DJ-A2QB-01A-11D-A19I-01	0.67
TCGA-DJ-A2QC-01	TCGA-DJ-A2QC-01A-11D-A18E-01	0.64
TCGA-DJ-A3UK-01	TCGA-DJ-A3UK-01A-11D-A22C-01	0.96
TCGA-DJ-A3UM-01	TCGA-DJ-A3UM-01A-11D-A22C-01	0.72
TCGA-DJ-A3UN-01	TCGA-DJ-A3UN-01A-11D-A22C-01	0.7
TCGA-DJ-A3UP-01	TCGA-DJ-A3UP-01A-11D-A22C-01	0.88
TCGA-DJ-A3UQ-01	TCGA-DJ-A3UQ-01A-11D-A22C-01	0.67
TCGA-DJ-A3UR-01	TCGA-DJ-A3UR-01A-11D-A22C-01	0.84
TCGA-DJ-A3UT-01	TCGA-DJ-A3UT-01A-11D-A22C-01	0.25
TCGA-DJ-A3UU-01	TCGA-DJ-A3UU-01A-11D-A22C-01	0.49
TCGA-DJ-A3UW-01	TCGA-DJ-A3UW-01A-11D-A22C-01	0.32
TCGA-DJ-A3UY-01	TCGA-DJ-A3UY-01A-21D-A22C-01	0.38
TCGA-DJ-A3V0-01	TCGA-DJ-A3V0-01A-11D-A22Y-01	0.67
TCGA-DJ-A3V2-01	TCGA-DJ-A3V2-01A-11D-A22Y-01	0.42
TCGA-DJ-A3V3-01	TCGA-DJ-A3V3-01A-11D-A22Y-01	0.66
TCGA-DJ-A3V4-01	TCGA-DJ-A3V4-01A-11D-A22Y-01	0.5
TCGA-DJ-A3V5-01	TCGA-DJ-A3V5-01A-11D-A22Y-01	0.56
TCGA-DJ-A3V8-01	TCGA-DJ-A3V8-01A-11D-A23L-01	0.67
TCGA-DJ-A3V9-01	TCGA-DJ-A3V9-01A-11D-A23L-01	0.42
TCGA-DJ-A3VB-01	TCGA-DJ-A3VB-01A-11D-A23L-01	0.66
TCGA-DJ-A3VD-01	TCGA-DJ-A3VD-01A-11D-A23L-01	0.81
TCGA-DJ-A3VE-01	TCGA-DJ-A3VE-01A-11D-A23L-01	0.68
TCGA-DJ-A3VF-01	TCGA-DJ-A3VF-01A-11D-A23L-01	0.38
TCGA-DJ-A3VG-01	TCGA-DJ-A3VG-01A-11D-A23L-01	0.74
TCGA-DJ-A3VI-01	TCGA-DJ-A3VI-01A-11D-A23L-01	0.63
TCGA-DJ-A3VJ-01	TCGA-DJ-A3VJ-01A-11D-A23L-01	0.52
TCGA-DJ-A3VK-01	TCGA-DJ-A3VK-01A-11D-A23L-01	0.61
TCGA-DJ-A3VL-01	TCGA-DJ-A3VL-01A-11D-A23L-01	0.89
TCGA-DJ-A3VM-01	TCGA-DJ-A3VM-01A-11D-A23L-01	0.8
TCGA-DJ-A4UL-01	TCGA-DJ-A4UL-01A-11D-A256-01	0.84
TCGA-DJ-A4UP-01	TCGA-DJ-A4UP-01A-11D-A256-01	0.33
TCGA-DJ-A4UQ-01	TCGA-DJ-A4UQ-01A-11D-A256-01	0.68
TCGA-DJ-A4UR-01	TCGA-DJ-A4UR-01A-11D-A256-01	0.78
TCGA-DJ-A4UT-01	TCGA-DJ-A4UT-01A-11D-A256-01	0.51
TCGA-DJ-A4UW-01	TCGA-DJ-A4UW-01A-11D-A256-01	0.66
TCGA-DJ-A4V0-01	TCGA-DJ-A4V0-01A-11D-A256-01	0.45
TCGA-DJ-A4V2-01	TCGA-DJ-A4V2-01A-11D-A256-01	0.6
TCGA-DJ-A4V4-01	TCGA-DJ-A4V4-01A-11D-A256-01	0.59
TCGA-DJ-A4V5-01	TCGA-DJ-A4V5-01A-11D-A256-01	0.61
TCGA-DO-A1JZ-01	TCGA-DO-A1JZ-01A-11D-A13V-01	1
TCGA-DO-A1K0-01	TCGA-DO-A1K0-01A-11D-A13V-01	0.92
TCGA-DO-A2HM-01	TCGA-DO-A2HM-01B-11D-A22C-01	0.18
TCGA-E3-A3DY-01	TCGA-E3-A3DY-01A-11D-A20A-01	0.69
TCGA-E3-A3DZ-01	TCGA-E3-A3DZ-01A-11D-A20A-01	0.77
TCGA-E3-A3E0-01	TCGA-E3-A3E0-01A-11D-A20A-01	0.66
TCGA-E3-A3E1-01	TCGA-E3-A3E1-01A-11D-A20A-01	0.66
TCGA-E3-A3E2-01	TCGA-E3-A3E2-01A-11D-A20A-01	0.61
TCGA-E3-A3E3-01	TCGA-E3-A3E3-01A-11D-A20A-01	0.8
TCGA-E3-A3E5-01	TCGA-E3-A3E5-01A-11D-A20A-01	0.88
TCGA-E8-A242-01	TCGA-E8-A242-01A-21D-A16M-01	0.64
TCGA-E8-A3X7-01	TCGA-E8-A3X7-01A-11D-A22Y-01	0.65
TCGA-E8-A413-01	TCGA-E8-A413-01A-21D-A23L-01	0.54
TCGA-E8-A414-01	TCGA-E8-A414-01A-11D-A23L-01	0.45
TCGA-E8-A417-01	TCGA-E8-A417-01A-21D-A23L-01	0.72
TCGA-E8-A418-01	TCGA-E8-A418-01A-11D-A23L-01	0.87
TCGA-E8-A419-01	TCGA-E8-A419-01A-11D-A23L-01	0.54
TCGA-E8-A432-01	TCGA-E8-A432-01A-11D-A23L-01	0.58
TCGA-E8-A434-01	TCGA-E8-A434-01A-11D-A23L-01	0.5
TCGA-E8-A437-01	TCGA-E8-A437-01A-12D-A23T-01	0.64
TCGA-E8-A438-01	TCGA-E8-A438-01A-11D-A23T-01	1
TCGA-E8-A44K-01	TCGA-E8-A44K-01A-21D-A23T-01	0.95
TCGA-EL-A3CL-01	TCGA-EL-A3CL-01A-11D-A19I-01	0.74
TCGA-EL-A3CM-01	TCGA-EL-A3CM-01A-11D-A19I-01	0.53
TCGA-EL-A3CN-01	TCGA-EL-A3CN-01A-12D-A20A-01	0.66
TCGA-EL-A3CO-01	TCGA-EL-A3CO-01A-11D-A19I-01	0.47
TCGA-EL-A3CP-01	TCGA-EL-A3CP-01A-11D-A19I-01	0.74
TCGA-EL-A3CR-01	TCGA-EL-A3CR-01A-12D-A201-01	0.74
TCGA-EL-A3CS-01	TCGA-EL-A3CS-01A-21D-A19I-01	0.81
TCGA-EL-A3CT-01	TCGA-EL-A3CT-01A-12D-A201-01	0.49
TCGA-EL-A3CU-01	TCGA-EL-A3CU-01A-11D-A19I-01	0.59
TCGA-EL-A3CV-01	TCGA-EL-A3CV-01A-11D-A19I-01	0.44
TCGA-EL-A3CX-01	TCGA-EL-A3CX-01A-11D-A19I-01	0.81
TCGA-EL-A3CZ-01	TCGA-EL-A3CZ-01A-11D-A19I-01	0.55
TCGA-EL-A3D1-01	TCGA-EL-A3D1-01A-11D-A19I-01	0.8
TCGA-EL-A3D4-01	TCGA-EL-A3D4-01A-11D-A19I-01	0.6
TCGA-EL-A3D6-01	TCGA-EL-A3D6-01A-12D-A201-01	0.66
TCGA-EL-A3GO-01	TCGA-EL-A3GO-01A-11D-A201-01	0.8
TCGA-EL-A3GP-01	TCGA-EL-A3GP-01A-11D-A201-01	0.62
TCGA-EL-A3GQ-01	TCGA-EL-A3GQ-01A-11D-A201-01	0.85
TCGA-EL-A3GR-01	TCGA-EL-A3GR-01A-21D-A201-01	0.66
TCGA-EL-A3GS-01	TCGA-EL-A3GS-01A-11D-A20A-01	0.8
TCGA-EL-A3GV-01	TCGA-EL-A3GV-01A-11D-A219-01	0.9
TCGA-EL-A3GW-01	TCGA-EL-A3GW-01A-11D-A201-01	0.85
TCGA-EL-A3GY-01	TCGA-EL-A3GY-01A-21D-A201-01	0.68
TCGA-EL-A3H1-01	TCGA-EL-A3H1-01A-11D-A219-01	0.8
TCGA-EL-A3H2-01	TCGA-EL-A3H2-01A-11D-A20A-01	0.84
TCGA-EL-A3H3-01	TCGA-EL-A3H3-01A-11D-A201-01	0.87
TCGA-EL-A3H4-01	TCGA-EL-A3H4-01A-11D-A201-01	0.73
TCGA-EL-A3H7-01	TCGA-EL-A3H7-01A-11D-A219-01	0.61
TCGA-EL-A3H8-01	TCGA-EL-A3H8-01A-11D-A20A-01	0.69
TCGA-EL-A3MW-01	TCGA-EL-A3MW-01A-11D-A20A-01	0.83
TCGA-EL-A3MX-01	TCGA-EL-A3MX-01A-11D-A219-01	0.65
TCGA-EL-A3MY-01	TCGA-EL-A3MY-01A-11D-A219-01	0.57
TCGA-EL-A3MZ-01	TCGA-EL-A3MZ-01A-11D-A219-01	0.6
TCGA-EL-A3N2-01	TCGA-EL-A3N2-01A-11D-A20A-01	0.83
TCGA-EL-A3N3-01	TCGA-EL-A3N3-01A-11D-A20A-01	0.5
TCGA-EL-A3T1-01	TCGA-EL-A3T1-01A-11D-A22C-01	0.67
TCGA-EL-A3T2-01	TCGA-EL-A3T2-01A-11D-A22C-01	0.77
TCGA-EL-A3T3-01	TCGA-EL-A3T3-01A-11D-A22C-01	0.77
TCGA-EL-A3T6-01	TCGA-EL-A3T6-01A-11D-A21Y-01	0.5
TCGA-EL-A3T7-01	TCGA-EL-A3T7-01A-11D-A22C-01	0.87
TCGA-EL-A3T8-01	TCGA-EL-A3T8-01A-21D-A22C-01	0.48
TCGA-EL-A3T9-01	TCGA-EL-A3T9-01A-21D-A22C-01	0.6
TCGA-EL-A3TA-01	TCGA-EL-A3TA-01A-12D-A22C-01	0.5
TCGA-EL-A3TB-01	TCGA-EL-A3TB-01A-11D-A22C-01	0.83
TCGA-EL-A3ZG-01	TCGA-EL-A3ZG-01A-11D-A23L-01	1
TCGA-EL-A3ZH-01	TCGA-EL-A3ZH-01A-31D-A23L-01	0.82
TCGA-EL-A3ZK-01	TCGA-EL-A3ZK-01A-21D-A23L-01	0.67
TCGA-EL-A3ZL-01	TCGA-EL-A3ZL-01A-11D-A23L-01	0.89
TCGA-EL-A3ZM-01	TCGA-EL-A3ZM-01A-12D-A23L-01	0.85
TCGA-EL-A3ZN-01	TCGA-EL-A3ZN-01A-11D-A23L-01	0.5
TCGA-EL-A3ZO-01	TCGA-EL-A3ZO-01A-11D-A23L-01	0.7
TCGA-EL-A3ZP-01	TCGA-EL-A3ZP-01A-11D-A23L-01	0.84
TCGA-EL-A3ZQ-01	TCGA-EL-A3ZQ-01A-11D-A23L-01	0.61
TCGA-EL-A3ZR-01	TCGA-EL-A3ZR-01A-11D-A23L-01	0.55
TCGA-EL-A3ZS-01	TCGA-EL-A3ZS-01A-12D-A23L-01	0.5
TCGA-EL-A3ZT-01	TCGA-EL-A3ZT-01A-12D-A23L-01	0.65
TCGA-EL-A4JV-01	TCGA-EL-A4JV-01A-11D-A256-01	0.67
TCGA-EL-A4JW-01	TCGA-EL-A4JW-01A-11D-A256-01	0.63
TCGA-EL-A4JX-01	TCGA-EL-A4JX-01A-12D-A256-01	0.32
TCGA-EL-A4JZ-01	TCGA-EL-A4JZ-01A-11D-A256-01	0.67
TCGA-EL-A4K0-01	TCGA-EL-A4K0-01A-11D-A256-01	0.66
TCGA-EL-A4K1-01	TCGA-EL-A4K1-01A-11D-A256-01	0.96
TCGA-EL-A4K2-01	TCGA-EL-A4K2-01A-11D-A256-01	0.85
TCGA-EL-A4K4-01	TCGA-EL-A4K4-01A-11D-A256-01	0.66
TCGA-EL-A4K6-01	TCGA-EL-A4K6-01A-12D-A256-01	0.82
TCGA-EL-A4K7-01	TCGA-EL-A4K7-01A-11D-A256-01	1
TCGA-EL-A4K9-01	TCGA-EL-A4K9-01A-11D-A256-01	0.67
TCGA-EL-A4KD-01	TCGA-EL-A4KD-01A-11D-A256-01	1
TCGA-EL-A4KG-01	TCGA-EL-A4KG-01A-11D-A256-01	0.41
TCGA-EL-A4KH-01	TCGA-EL-A4KH-01A-11D-A256-01	0.66
TCGA-EL-A4KI-01	TCGA-EL-A4KI-01A-11D-A256-01	0.79
TCGA-EM-A1CS-01	TCGA-EM-A1CS-01A-11D-A13V-01	0.8
TCGA-EM-A1CT-01	TCGA-EM-A1CT-01A-11D-A13V-01	0.8
TCGA-EM-A1CU-01	TCGA-EM-A1CU-01A-11D-A13V-01	0.73
TCGA-EM-A1CV-01	TCGA-EM-A1CV-01A-11D-A13V-01	0.89
TCGA-EM-A1CW-01	TCGA-EM-A1CW-01A-21D-A13V-01	0.54
TCGA-EM-A1YA-01	TCGA-EM-A1YA-01A-11D-A14V-01	0.64
TCGA-EM-A1YB-01	TCGA-EM-A1YB-01A-11D-A14V-01	0.69
TCGA-EM-A1YE-01	TCGA-EM-A1YE-01A-11D-A14V-01	0.68
TCGA-EM-A22I-01	TCGA-EM-A22I-01A-11D-A17S-01	0.66
TCGA-EM-A22J-01	TCGA-EM-A22J-01A-11D-A17S-01	0.96
TCGA-EM-A22K-01	TCGA-EM-A22K-01A-11D-A17S-01	0.86
TCGA-EM-A22L-01	TCGA-EM-A22L-01A-11D-A17S-01	0.8
TCGA-EM-A22M-01	TCGA-EM-A22M-01A-11D-A17S-01	0.51
TCGA-EM-A22O-01	TCGA-EM-A22O-01A-11D-A17S-01	0.81
TCGA-EM-A22P-01	TCGA-EM-A22P-01A-11D-A19I-01	0.41
TCGA-EM-A2CJ-01	TCGA-EM-A2CJ-01A-11D-A17S-01	0.87
TCGA-EM-A2CK-01	TCGA-EM-A2CK-01A-11D-A17S-01	0.77
TCGA-EM-A2CL-01	TCGA-EM-A2CL-01A-11D-A17S-01	0.96
TCGA-EM-A2CM-01	TCGA-EM-A2CM-01A-11D-A17S-01	0.9
TCGA-EM-A2CN-01	TCGA-EM-A2CN-01A-11D-A19I-01	0.97
TCGA-EM-A2CO-01	TCGA-EM-A2CO-01A-11D-A19I-01	0.48
TCGA-EM-A2CP-01	TCGA-EM-A2CP-01A-11D-A17S-01	0.99
TCGA-EM-A2CQ-01	TCGA-EM-A2CQ-01A-11D-A17S-01	0.53
TCGA-EM-A2CT-01	TCGA-EM-A2CT-01A-11D-A17S-01	1
TCGA-EM-A2OV-01	TCGA-EM-A2OV-01A-11D-A201-01	0.66
TCGA-EM-A2OW-01	TCGA-EM-A2OW-01A-11D-A201-01	0.5
TCGA-EM-A2OX-01	TCGA-EM-A2OX-01A-11D-A201-01	0.47
TCGA-EM-A2OZ-01	TCGA-EM-A2OZ-01A-11D-A201-01	0.6
TCGA-EM-A2P0-01	TCGA-EM-A2P0-01A-11D-A201-01	0.64
TCGA-EM-A2P1-01	TCGA-EM-A2P1-01A-11D-A201-01	0.29
TCGA-EM-A2P1-06	TCGA-EM-A2P1-06A-11D-A201-01	0.48
TCGA-EM-A2P2-01	TCGA-EM-A2P2-01A-11D-A201-01	0.85
TCGA-EM-A2P3-01	TCGA-EM-A2P3-01A-11D-A201-01	0.67
TCGA-EM-A3AI-01	TCGA-EM-A3AI-01A-11D-A201-01	0.78
TCGA-EM-A3AJ-01	TCGA-EM-A3AJ-01A-11D-A201-01	0.41
TCGA-EM-A3AK-01	TCGA-EM-A3AK-01A-11D-A201-01	0.68
